noise_1_channel	noise_2_channel	noise_3_channel	noise_4_channel	amp_channel	trig_channel
31684	-18	1	-19	9	6715
32767	1	1	-19	9	1436
-5434	-18	-18	-19	9	1756
-32767	-18	1	-19	28	5131
-32767	1	1	0	47	10052
-3207	-18	-18	-19	47	9222
32767	-18	-18	0	65	5207
26664	1	-18	0	9	946
-18643	1	1	-19	47	2397
-32767	-18	1	-19	28	6753
-32767	-18	-18	-19	9	10203
12096	1	-18	0	28	8449
32767	-18	-18	-19	65	3529
14059	20	-18	0	28	1097
-30984	1	-18	-19	28	3208
-32767	1	1	-19	28	8412
-25946	1	-18	-19	47	9977
25985	-18	1	-19	47	7299
32767	1	-18	-19	47	2020
831	1	-18	-19	47	1474
-32767	1	-18	-19	47	4434
-32767	1	-18	-19	28	9675
-11114	-18	1	-19	47	9505
32767	-18	-18	-19	47	6017
32363	-18	1	-19	28	1115
-12076	-18	-18	-19	47	2039
-32767	1	1	-19	28	5904
-32767	-18	-18	-19	28	10203
4284	1	1	-19	28	8883
32767	1	-18	-19	9	4396
20645	1	-18	-19	84	983
-24851	-18	-18	-19	47	2812
-32767	20	-18	-19	47	7563
-32494	1	1	-19	47	10127
19097	-18	-18	-19	47	7922
32767	-18	-18	-19	47	2699
7492	1	-18	-19	28	1266
-32767	1	-18	-19	47	3793
-32767	1	1	-19	9	9109
-18681	1	1	-19	9	9731
31797	1	-18	-19	47	6696
32767	-18	-18	-19	47	1474
-5717	1	1	-19	28	1738
-32767	-18	1	-19	47	5093
-32767	1	-18	-19	28	10052
-3396	-18	1	0	28	9260
32767	1	-18	-19	-10	5169
26872	1	-18	0	47	927
-18511	-18	1	-19	65	2379
-32767	-18	-18	-19	9	6734
-32767	1	1	0	28	10222
11945	-18	-18	-19	47	8449
32767	-18	-18	-19	47	3510
14116	20	-18	-19	47	1097
-30758	-18	-18	-19	47	3265
-32767	1	1	-19	28	8317
-26172	1	-18	-19	47	9977
25834	1	-18	-19	28	7412
32767	1	1	-19	84	2039
1189	-18	-18	-19	47	1492
-32767	1	-18	-19	47	4358
-32767	1	-18	0	28	9656
-11227	1	-18	-19	28	9524
32767	-18	-18	-19	28	5942
32514	-18	-18	-19	47	1115
-12189	1	1	0	28	2058
-32767	-18	-18	-19	28	5942
-32767	-18	1	-19	47	10222
4530	1	-18	0	65	8883
32767	-18	-18	-19	47	4339
20305	1	1	-19	28	1002
-24889	1	-18	-19	28	2812
-32767	1	-18	-19	65	7544
-32343	-18	1	-19	65	10127
19286	-18	-18	-19	47	7959
32767	-18	1	-19	47	2699
7379	-18	-18	-19	28	1285
-32767	-18	1	-19	28	3811
-32767	-18	-18	0	47	9109
-18511	-18	-18	-19	28	9750
32004	-18	-18	-19	9	6639
32767	-18	-18	-19	28	1417
-5717	1	-18	-19	47	1813
-32767	-18	-18	-19	65	5169
-32767	-18	-18	-19	47	10090
-3000	-18	-18	-19	28	9204
32767	-18	-18	0	28	5093
26381	1	-18	-19	28	965
-19058	1	-18	-19	65	2416
-32767	-18	-18	-38	28	6753
-32767	1	-18	-19	65	10222
12530	1	-18	0	65	8449
32767	1	-18	-19	47	3378
13776	-18	-18	-19	47	1059
-31380	-18	-37	0	28	3284
-32767	-18	1	-19	47	8431
-25455	-18	-18	-19	47	9977
26513	-18	-18	-19	28	7337
32767	1	-18	-19	47	1945
303	1	-18	-19	28	1492
-32767	1	-18	-19	47	4528
-32767	1	-37	-19	9	9713
-10529	-18	-18	-19	47	9505
32767	-18	1	-19	47	5961
31967	-18	-18	-19	47	1078
-12680	-18	1	0	28	2096
-32767	-18	-18	0	47	5980
-32767	-18	-18	-19	47	10203
5133	-18	1	-38	9	8845
32767	-18	-18	-19	28	4207
19909	-18	-18	-19	47	965
-25568	1	-18	-19	47	2869
-32767	-18	-18	-19	9	7658
-31946	-18	-18	-19	9	10090
19701	-18	-18	-19	28	7922
32767	1	-18	-19	9	2586
6983	1	1	-19	47	1323
-32767	-18	-18	-19	28	3887
-32767	-18	-18	-19	9	9109
-18171	-18	1	0	28	9731
32155	-18	1	-19	9	6696
32767	1	-18	-19	9	1436
-6226	-18	1	-19	9	1775
-32767	1	-18	-19	84	5188
-32767	1	1	-19	28	9995
-3056	-18	-18	-19	47	9204
32767	-18	1	0	9	5169
26457	1	-18	-19	28	983
-19039	1	1	-19	28	2435
-32767	-18	-18	-19	65	6771
