noise_1_channel,noise_2_channel,noise_3_channel,noise_4_channel,amp_channel,trig_channel
-32767,-18,-18,-19,9,9750
32767,-18,1,-19,9,2492
-32767,-37,-18,-19,28,6903
32767,-18,1,0,9,5716
-32767,-18,-18,0,28,4000
13889,-18,-18,-19,28,8280
-14643,1,1,0,28,2133
-17209,-18,-18,-19,28,9599
12436,-18,1,0,47,1134
-32767,-18,1,-19,47,10203
32767,-18,-18,-19,9,1360
-32767,-18,1,0,9,8563
32767,-18,1,0,28,4113
-32767,-18,-18,-19,47,5339
27683,-18,-18,0,47,7205
-27776,-18,1,0,9,2888
-1509,-18,-18,0,9,9053
-981,-18,-18,-19,28,1549
-31192,-18,1,0,9,10033
25513,-18,-18,0,9,927
-32767,-18,-18,-19,47,9694
32767,-18,-18,0,47,2511
-32767,-18,1,-19,65,6979
32767,-18,1,0,28,5753
-32767,-18,-18,-19,28,3962
13870,-18,1,0,28,8299
-14492,-18,1,0,65,2115
-17190,-18,1,0,28,9656
12361,-18,1,0,28,1115
-32767,-18,1,-19,28,10146
32767,-18,1,-19,28,1379
-32767,-18,-18,-19,28,8581
32767,-18,1,0,28,4038
-32767,-18,-18,-19,47,5320
27796,-18,-18,-19,47,7167
-27663,-18,1,-19,28,2944
-1452,-18,-18,0,28,9053
-1207,-18,1,-19,28,1549
-31022,-18,1,-19,28,10033
25192,-18,1,-19,47,946
-32767,-18,1,0,9,9750
32767,-18,1,-19,28,2397
-32767,-37,1,-19,28,6960
32767,-18,1,-19,65,5791
-32767,-18,-18,-19,28,4000
14191,-18,-18,-19,28,8242
-14775,-18,-18,0,28,2152
-16964,-18,1,-19,28,9637
12285,-18,1,0,28,1134
-32767,-18,1,-19,28,10222
32767,-18,1,0,-10,1323
-32767,-18,1,-19,28,8563
32767,-18,1,0,47,4094
-32767,-18,1,-19,-10,5339
27702,-18,1,-19,28,7130
-27833,-18,1,-19,28,2925
-1584,-18,1,0,9,9072
-962,-18,1,0,47,1568
-31173,-18,1,0,28,9995
25589,1,-18,0,47,927
-32767,-18,1,0,28,9769
32767,1,-18,-19,9,2548
-32767,-18,1,-19,47,6960
32767,-18,-18,-19,47,5659
-32767,-18,1,0,28,3925
13851,-18,-18,-19,28,8299
-14510,-18,1,0,28,2152
-17190,-18,1,0,47,9618
12530,-18,1,-19,28,1153
-32767,-18,1,-19,9,10184
32767,-18,19,-19,28,1342
-32767,-18,1,-19,9,8506
32767,-18,1,0,9,4094
-32767,-18,1,0,47,5376
27645,-37,1,-19,28,7167
-27474,-18,1,0,9,2944
-1547,-18,-18,0,28,9053
-1056,-18,-18,-19,28,1568
-31154,-18,-18,0,9,10014
25381,1,1,0,47,965
-32767,1,1,0,28,9675
32767,-18,-18,0,28,2511
-32767,-18,-18,-19,9,6922
32767,-18,-18,0,47,5829
-32767,-18,1,0,65,3925
14021,-18,1,0,47,8242
-14586,-18,-18,0,28,2152
-17115,-18,-18,0,28,9675
12361,-18,1,-19,47,1115
-32767,-18,1,0,28,10165
32767,-18,1,-19,47,1342
-32767,-18,-18,0,9,8619
32767,-18,-18,-19,9,4132
-32767,-18,1,0,28,5320
27645,-18,-18,-19,9,7205
-27776,-18,1,0,9,2925
-1396,-18,1,-19,9,9072
-999,-18,1,0,9,1568
-31135,-18,1,0,28,10033
25438,1,1,0,-10,946
-32767,-18,-18,0,47,9713
32767,-18,-18,-19,-10,2511
-32767,-18,-18,0,47,6922
32767,-18,1,0,28,5697
-32767,1,1,-19,28,4000
13814,-18,1,0,9,8317
-14548,1,1,0,28,2115
-17190,1,1,-19,28,9637
12398,1,-18,-19,28,1153
-32767,-18,1,-19,47,10203
32767,1,1,-19,28,1342
-32767,1,1,0,28,8544
32767,-18,-18,0,28,4151
-32767,-18,1,0,9,5376
27759,-18,-18,-19,47,7111
-27493,-18,-18,-19,28,2925
-1528,-18,1,0,47,9053
-1075,-18,1,-19,47,1568
-31192,-18,-18,-19,47,10014
25456,-18,-18,0,-10,946
-32767,-18,1,-19,-29,9694
32767,-18,-18,-19,9,2473
-32767,-18,1,0,9,6979
32767,1,-18,-19,28,5753
-32767,1,-18,-19,9,3962
14172,-18,-18,0,28,8317
-14869,-18,1,0,28,2152
-16831,-18,-18,-19,28,9618
12021,1,1,0,28,1115
-32767,-18,1,0,47,10203
32767,-18,1,0,47,1379
-32767,-18,1,0,47,8638
32767,-18,1,-19,47,3962
-32767,-18,-18,-19,65,5357
28023,-18,1,0,65,7149
-28191,1,1,-19,28,2944
-1113,-18,-18,0,9,9034
-1452,1,-18,-19,28,1568
-30644,-18,1,0,28,10033
24909,-18,-18,0,9,927
-32767,-18,-18,0,9,9750
32767,-18,-18,-19,28,2473
-32767,1,-18,-19,28,7073
32767,-18,1,-19,28,5716
-32767,1,1,-19,47,4000
14550,1,-18,-19,47,8167
-15001,-18,1,-19,47,2115
-16530,-18,1,0,9,9637
11700,1,-18,0,28,1153
-32767,-18,-18,0,47,10165
32767,-18,1,-19,9,1304
-32767,-18,1,-19,9,8657
32767,1,-18,0,28,4057
