noise_1_channel	noise_2_channel	noise_3_channel	noise_4_channel	amp_channel	trig_channel
-32767	1	-18	-19	47	6432
32767	1	1	-19	28	6225
-32767	1	-18	0	28	3717
6926	1	-18	-19	47	8468
-7642	1	-18	-19	47	2096
-23662	1	-18	-19	28	9750
18663	-18	-18	-19	28	1134
-32767	1	-18	-19	28	10014
32767	1	-18	0	28	1794
-32767	1	-18	-19	47	8035
32767	-18	-18	-19	65	4716
-32767	-18	-37	-19	28	4943
21513	1	-18	-19	47	7488
-20624	1	1	-19	47	2793
-8642	1	-18	-19	47	9185
5492	1	-18	-19	9	1511
-32767	1	-18	0	47	10109
31061	1	-18	0	47	1115
-32767	1	-18	-19	47	9354
32767	1	-18	-19	28	3076
-32767	1	-18	-19	9	6413
32767	-18	-18	-19	28	6262
-32767	1	-18	-19	47	3774
7039	1	-18	-19	47	8468
-7491	1	-18	0	47	2039
-23757	1	1	-19	28	9713
18569	1	-18	-19	28	1115
-32767	1	-37	-19	47	10052
32767	1	-18	-19	28	1775
-32767	1	-18	-19	28	8016
32767	1	-18	-19	-10	4811
-32767	1	1	0	9	4962
21475	1	-18	-19	28	7469
-20568	1	-18	-19	28	2775
-8680	-18	-18	-19	28	9166
5699	1	-18	0	28	1511
-32767	1	-18	-19	28	10052
30891	20	-18	-19	47	1078
-32767	1	-18	-19	28	9317
32767	1	-18	-19	47	3095
-32767	1	-18	-19	28	6413
32767	1	-18	-19	47	6168
-32739	-18	-18	-19	47	3717
6869	-18	-37	-19	28	8449
-7642	1	1	0	47	2058
-23719	1	-18	-19	47	9731
18625	1	-18	0	9	1115
-32767	1	-18	-19	28	10033
32767	1	-18	-19	28	1870
-32767	-18	-18	-19	47	7997
32767	1	-18	-19	47	4679
-32767	1	-18	0	28	4867
21550	-18	-18	-19	47	7469
-20813	1	-18	-19	28	2793
-8547	1	-18	-19	65	9204
5492	1	1	0	28	1474
-32767	20	-18	-19	28	10052
30853	1	-18	-19	65	1115
-32767	1	-37	0	47	9336
32767	1	-18	-19	28	3076
-32767	1	1	-19	65	6489
32767	-18	-18	-19	47	6244
-32767	1	-18	0	28	3717
7096	-18	-18	-19	28	8412
-7736	-18	-37	-19	9	2039
-23549	1	-37	-19	28	9731
18550	1	-18	-19	9	1115
-32767	-18	-18	-19	28	10052
32767	1	-18	-19	28	1794
-32767	1	-37	-19	28	8035
32767	-18	-18	0	47	4773
-32767	-18	-18	-19	-10	4905
21569	1	-18	-19	9	7450
-20738	1	-18	-19	9	2793
-8547	-18	-18	-19	28	9204
5624	1	-18	-19	28	1474
-32767	1	-18	-19	47	10071
30891	1	-18	-19	47	1115
-32767	-18	-18	0	9	9354
32767	1	-18	-19	28	3076
-32767	1	-18	-19	9	6432
32767	1	-18	-19	28	6187
-32767	1	-18	0	47	3755
7001	1	-18	-19	65	8449
-7585	1	-18	-19	28	2058
-23549	1	-18	-19	47	9731
18550	1	-37	0	28	1134
-32767	1	-18	-19	28	10090
32767	1	-18	0	47	1756
-32767	1	-18	-19	84	8016
32767	1	-18	-19	28	4641
-32767	1	-18	-19	47	4999
21833	1	1	0	47	7507
-20964	1	1	-19	28	2793
-8302	1	-18	-19	65	9166
5171	1	1	-19	47	1492
-32767	1	-18	0	28	10052
30665	1	-18	-19	28	1097
-32767	-18	-18	-19	28	9336
32767	-18	-18	0	47	3114
-32767	-18	-18	-19	47	6507
32767	1	-18	-19	47	6149
-32767	1	-18	0	47	3736
7492	1	-18	-19	9	8431
-7925	1	-18	-19	28	2115
-23304	1	-18	-19	28	9750
18399	1	-18	-19	47	1115
-32767	1	-18	-19	28	10071
32767	1	-18	-19	47	1775
-32767	1	-37	-19	47	8016
32767	1	-18	-19	28	4679
-32767	1	-18	-19	28	4999
21947	1	-18	-19	28	7488
-21040	1	1	-19	65	2831
-8208	1	-18	-19	47	9147
5322	1	-18	-19	65	1492
-32767	-18	-18	-19	47	10052
30533	1	-18	0	28	1097
-32767	1	-18	0	28	9354
32767	-18	-18	0	65	2982
-32767	1	1	-19	65	6470
32767	1	-18	-19	47	6149
-32767	1	-18	-19	28	3811
7417	1	-18	-19	47	8412
-8151	1	-18	-19	47	2058
-23228	1	-18	0	65	9694
18267	1	-18	-19	47	1153
-32767	-18	-18	-19	47	10052
32767	-18	-18	-19	65	1738
-32767	1	-18	-19	47	8053
32767	1	-18	-19	47	4660
-32767	1	-18	-19	28	4999
21928	1	1	-19	28	7431
-21096	1	-18	0	47	2793
-8170	1	-18	-19	47	9166
5265	1	-18	-19	28	1492
-32767	1	-18	0	47	10109
30721	-18	-18	0	28	1097
-32767	20	1	-19	28	9373
32767	1	-18	-19	28	3133
-32767	1	1	-19	47	6451
32767	1	-18	0	28	6168
-32767	1	-18	-19	9	3774
7379	1	-18	-19	65	8468
-7793	1	-18	-19	47	2058
-23417	1	-18	-19	9	9713
18380	1	-18	0	47	1115
-32767	1	-18	-19	28	10071
32767	1	-18	-19	47	1813
-32767	1	-18	-19	65	8016
32767	-18	-18	-19	28	4698
-32767	1	-18	-19	28	4999
21777	1	-37	-19	47	7488
-20851	1	-18	0	28	2793
-8472	1	-18	-19	28	9204
5530	1	-18	-19	28	1492
-32767	1	-18	0	47	10090
30797	1	1	0	47	1078
-32767	1	-18	0	28	9336
32767	1	-18	0	28	3076
-32767	1	-18	-19	47	6507
32767	1	-18	-19	47	6225
-32767	1	-18	0	65	3755
7134	1	-18	-19	65	8449
-7793	1	-18	-19	28	2077
-23587	1	-18	-19	47	9713
18531	1	1	-19	28	1097
-32767	1	-18	-19	47	10033
32767	-18	-18	-19	47	1813
-32767	1	-18	-19	47	8016
32767	1	1	-19	9	4679
-32767	1	-18	-19	9	4924
21607	1	-18	-19	47	7469
-20775	-18	-37	-19	47	2793
-8604	-18	-18	0	47	9204
5435	1	-37	-19	47	1530
-32767	1	-18	0	65	10052
30797	1	-18	-19	28	1078
-32767	1	-18	-19	9	9336
32767	-18	-18	0	47	3076
-32767	-18	-18	0	28	6394
32767	-18	-18	0	9	6206
-32767	-18	-18	-19	47	3736
7096	-18	-18	-19	28	8468
-7698	1	-18	-19	28	2058
-23681	-18	-37	-19	28	9713
18607	1	-18	-19	28	1134
-32767	1	-18	0	9	10052
32767	1	-18	-19	9	1756
-32767	-18	-18	0	28	7997
32767	-18	-18	-19	28	4735
-32767	1	-18	-19	28	4999
21682	1	-18	-19	28	7488
-20775	1	-18	-19	9	2793
-8566	1	-18	-19	47	9222
5548	-18	-18	-19	9	1511
-32767	-18	1	-19	28	10071
30910	1	-18	-19	9	1115
-32767	1	-18	-19	47	9354
32767	1	-18	-19	28	3170
-32767	1	-18	-19	47	6451
32767	-18	1	-19	28	6168
-32767	1	-18	-19	28	3736
6945	-18	-18	-19	28	8468
-7642	-18	-18	-19	9	2077
-23757	1	1	-19	47	9731
18625	1	1	0	47	1115
-32767	20	-18	-19	47	10052
32767	1	-18	-19	28	1832
-32767	-18	-18	-19	47	7997
32767	1	-18	-19	47	4641
-32767	-18	-18	-19	28	4943
21588	-18	1	-19	28	7544
-20738	1	-18	-19	47	2793
-8604	-18	-18	0	9	9147
5454	1	-18	-19	9	1492
-32767	1	-18	-19	28	10071
30853	1	-18	-19	28	1134
-32767	1	-18	-19	47	9336
32767	1	-18	-19	47	3114
-32767	1	1	0	65	6470
32767	1	1	-19	9	6262
-32767	1	-18	-19	28	3736
7096	-18	-18	-19	28	8431
-7642	1	-18	-19	-10	2020
-23738	1	1	-19	47	9731
18644	1	-18	-19	9	1115
-32767	1	-18	-19	47	10033
32767	1	-18	-19	47	1794
-32767	1	-18	-19	9	8053
32767	1	-18	-19	47	4773
-32767	1	-18	-19	28	4962
21645	1	-18	0	28	7488
-20719	1	1	-19	47	2793
-8378	1	-18	0	28	9204
5416	-18	-18	-19	47	1511
-32767	-18	-18	0	47	10052
30551	1	-18	-19	47	1115
-32767	1	1	-19	9	9354
32767	1	1	0	47	3076
-32767	1	-18	-19	47	6432
32767	1	-18	-19	84	6206
-32767	1	1	-19	47	3811
7360	1	1	-19	28	8487
-8038	1	-18	-19	28	2096
-23228	-18	1	-19	47	9675
18191	1	-18	-19	9	1153
-32767	1	-18	-19	28	10071
32767	1	-18	-19	9	1775
-32767	1	1	-38	65	8053
32767	1	-18	-19	28	4660
-32767	1	1	-19	9	5037
22135	-18	1	-19	9	7469
-21379	-18	-18	-19	47	2812
-7793	-18	-18	-19	47	9185
4813	1	1	-19	9	1549
-32767	-18	-18	-19	28	10090
30136	1	-18	-19	47	1059
-32767	1	-18	-19	28	9373
32767	-18	-18	-19	9	3057
-32767	-18	-18	-19	47	6526
32767	-18	-18	-19	28	6168
-32767	-18	-37	-19	28	3811
7964	1	1	-19	28	8393
-8472	1	-18	-19	28	2096
-22776	1	-18	-19	28	9694
17720	1	1	-19	47	1115
-32767	1	1	-19	47	10090
32767	1	1	-19	65	1775
-32767	1	1	-19	47	8110
32767	1	-18	-19	28	4528
-32767	1	-18	-19	28	5018
22532	1	-18	-19	47	7394
-21624	1	-18	-19	28	2869
-7472	1	1	-19	28	9147
4548	1	-18	-19	28	1549
